paper_id,authors,author_ids,title,year,committee_presentation_decision,committee_publication_decision,abstract,body,abstract_dreyer_count
2000/1,"Nakisha Martelles,Andy Swiney,Odette Perper,Erik Kio","1,2,3,4","Imaging Identity: Media, memory and portraiture in the digital age",2000,Reject,Reject,"Tom is a land surveyor. I stay with you. To speak frankly, I think he is a good boss. I wish that you could be here with me right now. I don't want to take piano lessons anymore. I've found myself a girlfriend. Oh, I got it. Sami had a strange way of expressing sympathy. Physician, heal thyself. Tom and Mary told me they were married. She wouldn't eat that, would she? I thought that Tom would have all the time he needed. You should talk to my sister's boyfriend. Sami has been working at this bar for six months. Why did she become a doctor? I've got someone with me. Sami bought some mangoes from the grocery store. Ask me again in October. You're the only one who knows what to do, aren't you? Filled with anger, Tom killed his own brother.",NA,3
2000/2,"Latisha Blumstein,Roger Dohrmann,Lavon Mankey,Todd Wann,Michael Josselyn,Charis Goyen,Raye Kosareff","5,6,7,8,9,10,11",Building Community Resilience to Disasters: A Way Forward to Enhance National Health Security,2000,Reject,Reject,"Both Tom and Mary should've left early. I was going to tell you, but Tom told me not to. I thought this only happened in movies. I will go when he comes back. He bade us farewell, and went away. He often sings in his car. I haven't yet done what you asked me to do. It was Tom who wanted to have the party here. She told me that she was worried. What an idiot I was to lend him money. Tom often walks his dog late at night. Tom is usually pessimistic and Mary is usually optimistic.",NA,0
2000/3,"Bernarda Hatchcock,Elly Cassani","12,13",Animals and Medicine: The Contribution of Animal Experiments to the Control of Disease,2000,Reject,Accept,"I knew it was too late. ""You're so beautiful."" ""That's so you and I love that."" Tom and Mary are weak. Don't look at me that way! Does Tom have an alibi? She said she'll probably win. I think that's an interesting profession. Sami had my phone in his hand. ""What's this?"" ""Open it."" I had a study date with Mary. Tatoeba has reached eight hundred thousand sentences! Roger worked at any job he could find during the day. What a bad news! What on earth are we going to do? China has a growing middle class. I didn't practice the piano yesterday. Washing laundry by hand is hard and time-consuming. Is it true Tom has a twin? Tom and Mary are the same height. Tom doesn't seem to be as popular as Mary.",NA,2
2000/4,"Lakeshia Bon,Dani Mertens,Shelli Younan,Willetta Gawel,Kemberly Ricardez,Annette Vanabel,Aracelis Skildum","14,15,16,17,18,19,20",Reframing Singapore: Memory - Identity - Trans-Regionalism,2000,Accept,Reject,"Why don't we wait until Tom and Mary get here? What a great shot! We expect Tom to leave on Monday. I don't like shopping with Tom. ""Can I have it?"" ""Sorry, I drank it at the hotel!"" ""Thought so."" Unfortunately, full employment can no longer be taken for granted. It's more than tolerable! He played tennis yesterday. Did Tom and Mary say why they were leaving? He died leaving his beloved children behind. Tom wanted to work in Boston. I think that that question isn't appropriate. Do you have any problem with what we have planned for tonight? Have you done your homework yet? I know that Tom knows why we don't want to do that. She combs her hair. I asked her about her trip in Kabylie. I've been saving it for a special occasion.",NA,1
2000/5,Ina Levitz,21,Framing the Islands: Power and Diplomatic Agency in Pacific Regionalism,2000,Accept,Reject,When did you hear the sound? I know that I don't have enough time to do that this afternoon. I had fun hanging out with Tom last weekend. I'm sorry. I never wanted to hurt you. Have you met the new French teacher? I shouldn't have been so rude to Tom. Tom wasn't smart enough to figure that out. Tom had nothing.,NA,3
2000/6,"Theresa Viola,Sharla Gettenberg,Youlanda Bitar","22,23,24",Stories: Screen Narrative in the Digital Era,2000,Accept,Accept,"The group was silent. Mary is in her bedroom, isn't she? Mary said she thought she wouldn't be able to do that anytime soon. I hate my sister. Tom will win, I think. A promise is a debt. My shirt shrank in the washing machine. They drink coffee. You might need someone like Tom. I'm in total agreement with you. I had a talk with Tom. Tom and I are lawyers.",NA,2
2000/7,"Elin Coffel,Melany Foots,Margarite Brine","25,26,27",Just Vibrations: The Purpose of Sounding Good,2000,Accept,Reject,"Was Tom the one who told you that you didn't have to do that? This cold weather isn't usual for June. We have a very serious problem here. Are you prepared for an emergency? His wife doesn't even know why he died. I know that you really like Tom. Let Dan talk to me. Don't interrupt. Teach me how to count in Berber. Tom would be through doing that by now if he'd started earlier. This isn't the first time that this has happened to me. Elephants are the largest land animals alive today. Tom didn't need to be here until 2:30. Tom and Mary have just gotten back to Australia. Tom was nervous and scared. Tom is a friend of Mary's. Sir and Miss, what type of jewellery are you looking to buy? Tom is from our Boston office. Tom isn't in.",NA,2
2000/8,Jodee Swonke,28,"Individual Preparedness and Response to Chemical, Radiological, Nuclear, and Biological Terrorist Attacks: The Reference Guide",2000,Reject,Reject,"Remember that in Berber, we write proper nouns with a capital letter. Come on! He was climbing slowly over the fence. I like long baths. Tom had planned to do that yesterday. They burst into tears. Can you believe that summer is almost over? It appears that Tom knows what happened. The cat just gave him a stern look. Tom and Mary said that they didn't think John would be afraid to do that. Tom tried to say something, but couldn't. Mary begged me to help her. Down come the rain in torrents. So what are you talking about? The parents, rather than the children, are to blame. We still haven't found what we're looking for. Leave those here. My new course starts today. Far from respecting him, I dislike him. He was so immature, he couldn't resist the temptation.",NA,3
2000/9,Wyatt Bretthauer,29,The Jalayirids: Dynastic State Formation in the Mongol Middle East,2000,Reject,Reject,"Give it a second. Are you unable to see properly? I almost became a paramedic. Sami pulled the bullet out of Layla's back. I didn't have any problem communicating in French. Why are you questioning me? Mary won't likely tell Tom she's hungry. He said he was much happier now. Why are you closing the store? Sami never saw that guy again. Everyone agreed it was the right decision. I have no idea what the weather will be like tomorrow. You're done, aren't you? Tom and Mary told John they didn't want to see him again. I'm worthless. Fadil wrote Layla a poem to profess his love. Doing it that way will take too much time. Tom doesn't think Mary would be doing that on a hot day like today. Tom is broke again.",NA,1
2000/10,"Leann Sinnett,Prudence Fullem,Kenny Angstadt,Maryann Rogriguez,Tomiko Hawke,Jerry Weneck","30,31,32,33,34,35",Joseph und Aseneth,2000,Reject,Accept,It can be repaired. You guys have it worse than we do. He has many children. Tom is having the same problems Mary is. They left this. I assume that Tom doesn't have very many friends. There's hardly anything left to eat. I can't prove that you did that. The naughty girl assumed an air of innocence. Sami didn't have time to maneuver. Could you help me for a second?,NA,1
